CAL_off,mini,maxi,frq
"0",,,0.00377930961062465
1a,0.657894736842105,11.0370267212605,0.120372341841216
1b,11.0375094070291,28.6603232012464,0.237590823197509
"2",28.6612576197118,67.8113523572331,0.285464296170122
"3",67.8134126042467,105.699207713019,0.149808373033827
"4",105.699398834486,133.59414599023,0.0793721555372209
"5",133.594417597478,155.76250161713,0.0452186410454316
6a,155.76622843996,200.229063434389,0.0492042157932558
6b,200.240075817695,494.77692845945,0.0291898437707929
,,,0.0609480211854257
